video_id,title,published_at,views,likes,comments,duration,type,url
KxduWfMHV38,"2025 Success RESOLUTIONS: Money, Career, Health and Relationships! | Ankur Warikoo Hindi",2024-12-11T14:30:08Z,412035,14822,750,PT31M44S,Video,https://youtube.com/watch?v=KxduWfMHV38
gYL8he47ctI,GOLD vs SILVER - kaun jeeta?! | Ankur Warikoo #shorts,2024-12-11T06:30:15Z,893964,61955,117,PT39S,Short,https://youtube.com/watch?v=gYL8he47ctI
tRG-Llk7DKM,1 Lakh/month FREE main kaise paaye?! | Ankur Warikoo #shorts,2024-12-10T06:30:16Z,1608120,108991,569,PT27S,Short,https://youtube.com/watch?v=tRG-Llk7DKM
1GuzATsMAZU,1kg GOLD ka asli VALUE kitna tha?! | Ankur Warikoo #shorts,2024-12-09T06:30:55Z,744604,66246,305,PT33S,Short,https://youtube.com/watch?v=1GuzATsMAZU
6cSIyyBOGsY,Kya GAADI lena hain AFFORDABLE?! | Ankur Warikoo #shorts,2024-12-09T06:30:02Z,580671,35385,138,PT32S,Short,https://youtube.com/watch?v=6cSIyyBOGsY
FdIvj6n_XVM,Re. 1 ya Rs. 100 CRORE - kaunsa CHOOSE kiya?! | Ankur Warikoo #shorts,2024-12-08T06:30:09Z,10563162,570641,3017,PT33S,Short,https://youtube.com/watch?v=FdIvj6n_XVM
iWuvcGmHEpU,Investment PLAN for New PARENTS | Money Matters Ep. 39 | Ankur Warikoo Hindi,2024-12-07T14:30:30Z,188383,4495,503,PT27M40S,Video,https://youtube.com/watch?v=iWuvcGmHEpU
C73PMYYUxGM,Verna vs Dzire - Kaunsi padegi MEHENGI?! | Ankur Warikoo #shorts,2024-12-07T06:30:06Z,7092937,291454,1734,PT31S,Short,https://youtube.com/watch?v=C73PMYYUxGM
YGa7x3YXHcU,Bombay vs Delhi | Kya Aapko Pata Tha? | Ankur Warikoo #shorts,2024-12-06T06:30:26Z,5276201,281951,1760,PT33S,Short,https://youtube.com/watch?v=YGa7x3YXHcU
OJDTL0l6n8Q,At what AGE did I get my FIRST CRORE?! | Ankur Warikoo #shorts,2024-12-05T06:30:11Z,2279216,148587,955,PT31S,Short,https://youtube.com/watch?v=OJDTL0l6n8Q
rcA2PycBQr4,How to INVEST in MUTUAL FUNDS in 2025 | Ankur Warikoo Hindi,2024-12-04T14:20:45Z,875727,22349,1311,PT27M14S,Video,https://youtube.com/watch?v=rcA2PycBQr4
Oi_2jsEGxv4,Bharat ka DIGITAL Age! | Ankur Warikoo #shorts,2024-12-04T06:30:07Z,3814231,267137,604,PT28S,Short,https://youtube.com/watch?v=Oi_2jsEGxv4
Ij3GnN1slxI,1 iPhone 16 ke liye aapko kitne DIN kaam karna padega?! | Ankur Warikoo #shorts,2024-12-03T06:30:08Z,2798256,181868,571,PT29S,Short,https://youtube.com/watch?v=Ij3GnN1slxI
r3kNGnoKgVM,Creta vs Hyryder vs Nexon EV - kisme hain zyada SAVINGS?! | Ankur Warikoo #shorts,2024-12-02T06:30:30Z,3902915,137360,1808,PT36S,Short,https://youtube.com/watch?v=r3kNGnoKgVM
